10
6.01	-2.42	-0.13	1.69	3.23	-0.64	3.42	-9.93	-5.62	-1.18	| -16.458702
-1.39	-0.71	5.40	0.05	-2.53	-9.34	-2.80	1.17	-7.98	9.96	| -177.973099
8.02	1.67	-0.90	0.19	7.83	-7.53	0.00	-7.24	-8.25	-7.28	| 38.446899
-1.71	4.53	-2.68	-4.52	4.75	7.59	8.78	3.19	7.37	8.74	| 75.069496
-7.94	-6.39	7.01	-7.20	-9.73	-1.29	9.46	-9.56	-2.30	-5.30	| 30.622501
0.27	-8.38	-2.51	-0.75	9.65	-5.36	7.48	1.37	-7.68	-1.95	| -118.405792
0.00	-3.30	9.40	-5.19	9.63	-5.36	2.24	-4.31	6.78	-3.89	| 95.227493
6.27	-2.99	-1.19	-9.04	2.73	-9.40	6.79	9.83	4.61	5.80	| -5.395893
-3.01	2.79	-5.03	1.21	7.38	-3.39	-9.44	6.91	-4.86	-3.19	| -51.983002
-2.44	-7.30	-1.24	7.29	4.06	5.90	5.14	-9.66	-2.18	5.22	| -162.075119


